time,temperature
1.5,25.25
2.5,25.25
3.5,25.25
4.5,25.25
5.5,25.25
6.51,25.25
7.51,25.25
8.51,25.25
9.51,25.25
10.51,25.25
11.51,25.25
12.51,25.5
13.51,25.5
14.51,25.5
15.51,25.5
16.52,25.75
17.52,25.75
18.52,26.0
19.52,26.0
20.52,26.25
21.52,26.5
22.52,26.5
23.52,26.75
24.52,27.0
25.53,27.25
26.53,27.5
27.53,27.75
28.53,28.0
29.53,28.25
30.53,28.5
31.53,29.0
32.53,29.25
33.53,29.5
34.54,30.0
35.54,30.25
36.54,30.75
37.54,31.25
38.54,31.75
39.54,32.0
40.54,32.5
41.54,33.0
42.54,33.5
43.54,34.0
44.55,34.5
45.55,35.0
46.55,35.5
47.55,36.25
48.55,36.75
49.55,37.5
50.55,38.0
51.55,38.5
52.56,39.25
53.56,40.0
54.56,40.5
55.56,41.25
56.56,41.75
57.56,42.5
58.56,43.25
59.56,44.0
60.56,44.75
61.56,45.25
62.57,46.25
63.57,47.0
64.57,47.5
65.57,48.5
66.57,49.25
67.57,50.0
68.57,50.75
69.57,51.5
70.58,52.25
71.58,53.0
72.58,53.75
73.58,54.75
74.58,55.5
75.58,56.25
76.58,57.0
77.58,58.0
78.58,58.75
79.58,59.5
80.59,60.25
81.59,61.0
82.59,61.75
83.59,62.25
84.59,63.0
85.59,63.75
86.59,64.25
87.59,65.0
88.59,65.5
89.6,66.0
90.6,66.75
91.6,67.25
92.6,67.5
93.6,68.0
94.6,68.75
95.6,69.25
96.6,69.5
97.61,70.0
98.61,70.5
99.61,71.0
100.61,71.25
101.61,71.75
102.61,72.25
103.61,72.75
104.61,73.0
105.61,73.5
106.61,73.75
107.62,74.25
108.62,74.5
109.62,75.0
110.62,75.25
111.62,75.5
112.62,76.0
113.62,76.25
114.62,76.75
115.62,77.0
116.63,77.25
117.63,77.5
118.63,77.75
119.63,78.25
120.63,78.5
121.63,78.75
122.63,79.0
123.63,79.5
124.64,79.5
125.64,80.0
126.64,80.25
127.64,80.5
128.64,80.75
129.64,81.0
130.64,81.25
131.64,81.5
132.65,81.75
133.65,82.0
134.65,82.25
135.65,82.5
136.65,82.75
137.65,83.0
138.65,83.25
139.65,83.25
140.65,83.5
141.66,84.0
142.66,84.0
143.66,84.25
144.66,84.5
145.66,84.75
146.66,85.0
147.66,85.25
148.66,85.25
149.66,85.5
150.67,85.75
151.67,86.0
152.67,86.25
153.67,86.5
154.67,86.5
155.67,87.0
156.67,87.25
157.67,87.5
158.68,87.75
159.68,88.0
160.68,88.5
161.68,88.75
162.68,89.25
163.68,89.75
164.68,90.25
165.68,90.75
166.68,91.25
167.69,91.75
168.69,92.5
169.69,93.0
170.69,93.75
171.69,94.5
172.69,95.0
173.69,95.75
174.69,96.5
175.69,97.25
176.7,98.0
177.7,98.75
178.7,99.5
179.7,100.25
180.7,101.25
181.7,102.0
182.7,102.5
183.7,103.25
184.71,104.0
185.71,104.5
186.71,105.0
187.71,105.75
188.71,106.25
189.71,106.75
190.71,107.25
191.71,107.75
192.72,108.0
193.72,108.5
194.72,109.0
195.72,109.5
196.72,109.75
197.72,110.0
198.72,110.25
199.72,110.75
200.73,111.0
201.73,111.5
202.73,111.75
203.73,112.25
204.73,112.5
205.73,112.75
206.73,113.0
207.73,113.25
208.74,113.5
209.74,113.75
210.74,114.0
211.74,114.25
212.74,114.5
213.74,114.75
214.74,115.0
215.74,115.25
216.74,115.5
217.75,115.5
218.75,115.75
219.75,116.0
220.75,116.25
221.75,116.25
222.75,116.5
223.75,116.75
224.75,117.0
225.76,117.0
226.76,117.25
227.76,117.5
228.76,117.5
229.76,117.75
230.76,118.0
231.76,118.0
232.76,118.25
233.76,118.5
234.77,118.5
235.77,118.75
236.77,118.75
237.77,119.0
238.77,119.0
239.77,119.25
240.77,119.5
241.77,119.5
242.78,119.75
243.78,119.75
244.78,120.0
245.78,120.25
246.78,120.25
247.78,120.5
248.78,120.75
249.78,120.75
250.79,121.0
251.79,121.25
252.79,121.5
253.79,121.5
254.79,121.75
255.79,122.0
256.79,122.25
257.79,122.5
258.8,122.5
259.8,122.75
260.8,123.0
261.8,123.25
262.8,123.5
263.8,124.0
264.8,124.0
265.8,124.5
266.8,124.75
267.8,125.0
268.81,125.0
269.81,125.5
270.81,125.75
271.81,126.0
272.81,126.25
273.81,126.5
274.81,126.75
275.82,127.0
276.82,127.5
277.82,127.75
278.82,128.0
279.82,128.25
280.82,128.75
281.82,129.0
282.82,129.25
283.83,129.25
284.83,129.75
285.83,130.0
286.83,130.25
287.83,130.5
288.83,130.75
289.83,131.25
290.83,131.5
291.83,131.75
292.84,132.0
293.84,132.5
294.84,132.75
295.84,133.0
296.84,133.25
297.84,133.5
298.84,134.0
299.84,134.25
300.85,134.5
301.85,134.75
302.85,135.25
303.85,135.25
304.85,135.75
305.85,136.25
306.85,136.75
307.85,137.0
308.86,137.25
309.86,137.75
310.86,138.25
311.86,138.75
312.86,139.25
313.86,139.75
314.86,140.25
315.86,140.5
316.86,141.0
317.86,141.75
318.87,142.0
319.87,142.75
320.87,143.25
321.87,143.5
322.87,144.25
323.87,144.75
324.87,145.25
325.88,145.75
326.88,146.25
327.88,147.0
328.88,147.5
329.88,148.0
330.88,148.75
331.88,149.25
332.88,149.75
333.89,150.25
334.89,151.0
335.89,151.5
336.89,152.0
337.89,152.5
338.89,153.0
339.89,153.5
340.89,154.0
341.89,154.5
342.9,154.75
343.9,155.0
344.9,155.0
345.9,154.75
346.9,154.5
347.9,154.0
348.9,153.75
349.9,153.75
350.91,153.5
351.91,153.5
352.91,153.25
353.91,153.25
354.91,152.75
355.91,152.25
356.91,151.75
357.91,151.25
358.92,151.0
359.92,150.5
360.92,150.0
361.92,149.75
362.92,149.5
